date,minimum_temperature_c,maximum_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_km_h,time_of_maximum_wind_gust,x9am_temperature_c,x9am_relative_humidity_percent,x9am_cloud_amount_oktas,x9am_wind_direction,x9am_wind_speed_km_h,x9am_msl_pressure_h_pa,x3pm_temperature_c,x3pm_relative_humidity_percent,x3pm_cloud_amount_oktas,x3pm_wind_direction,x3pm_wind_speed_km_h,x3pm_msl_pressure_h_pa,year,month,day
2019-09-01,7.5,16.5,1.2,2.6,10.7,W,44,11:52:00,12.5,82,3,WNW,28,1020.1,15.4,67,NA,WSW,24,1020.1,2019,9,01
2019-09-02,3.1,22.1,0.2,4.8,8.4,NE,39,09:36:00,13.7,70,1,NE,24,1018.1,21.6,40,NA,W,11,1015.2,2019,9,02
2019-09-03,4.9,17.4,0,3,6.6,WSW,31,14:37:00,9.9,100,NA,N,7,1018.8,16.8,77,NA,W,20,1016.2,2019,9,03
2019-09-04,5.1,19,0.4,2.9,0,N,19,00:36:00,12.3,93,7,NE,7,1018.1,18.7,70,NA,NW,7,1014.9,2019,9,04
2019-09-05,10.1,16.4,3.6,1,8.2,WSW,46,14:19:00,12.8,100,7,WNW,2,1013.3,15.3,65,NA,WSW,28,1011.2,2019,9,05
2019-09-06,7.1,12.1,7,4.8,4.4,W,78,11:54:00,8.8,99,8,W,35,1009.4,11,80,NA,WSW,41,1013.6,2019,9,06
2019-09-07,6.7,12.1,2.6,2.1,2.4,W,54,15:38:00,9.5,86,7,W,26,1021.5,11.6,69,NA,WSW,28,1020.7,2019,9,07
2019-09-08,7.9,14.7,0.6,2.9,6,W,74,12:21:00,10,90,8,WNW,26,1022.6,13.1,79,NA,WSW,31,1022,2019,9,08
2019-09-09,2.9,14.9,1.2,3.6,9.8,WSW,26,16:48:00,9.5,80,6,SSW,13,1029.7,14.6,66,NA,WSW,13,1028.3,2019,9,09
2019-09-10,0.5,17.3,0,2,10.1,ENE,24,08:52:00,9.3,79,0,ENE,17,1030.8,16.8,59,NA,NNE,2,1028,2019,9,10
2019-09-11,2.7,22.8,0,2,8.8,NW,30,14:04:00,14.2,59,0,NNE,11,1029.8,22.5,43,NA,NNW,13,1025.8,2019,9,11
2019-09-12,7.5,20.6,0.2,5.1,4.9,WNW,56,05:59:00,17.9,36,NA,W,28,1023.7,20.1,62,NA,WSW,15,1023.5,2019,9,12
2019-09-13,3.1,18,0.2,5.4,NA,WSW,33,14:24:00,12.5,94,1,WSW,9,1027.9,17.8,72,NA,WSW,20,1026.7,2019,9,13
2019-09-14,5,26.2,0,1.8,8.7,NW,26,14:05:00,13.1,91,1,ENE,15,1027.7,25.5,47,NA,NW,13,1023.5,2019,9,14
2019-09-15,11.7,27.6,0,4.4,6,NNW,50,13:32:00,21.9,47,3,SSE,2,1020.9,26,30,NA,WNW,28,1016.5,2019,9,15
2019-09-16,8.6,12.2,1.8,6.8,3.1,SSE,48,14:35:00,9.1,96,8,NA,Calm,1023.7,11.4,72,NA,SSE,24,1023.5,2019,9,16
2019-09-17,1.3,13.4,1.2,1.8,11.1,ENE,35,08:47:00,7.7,61,0,E,20,1028.8,12.9,43,NA,ESE,11,1026.3,2019,9,17
2019-09-18,1.3,19.5,0,3.7,10.7,NE,37,09:08:00,12.3,49,1,NNE,20,1025.9,19.2,29,NA,NNE,19,1021.6,2019,9,18
2019-09-19,11,26.7,0,7.4,4.7,NNE,56,12:33:00,15.9,35,8,NE,19,1014.3,25.7,19,NA,NNE,31,1009.3,2019,9,19
2019-09-20,11.7,19.2,0,7.4,0.3,WSW,54,16:01:00,15.6,70,8,NA,Calm,1014,16.8,58,NA,SW,24,1011.6,2019,9,20
2019-09-21,7.3,13.5,9.8,3.7,7.8,WSW,52,09:49:00,9.3,90,7,WNW,24,1016,11.7,64,NA,WSW,22,1019.1,2019,9,21
2019-09-22,4.6,13.6,0.2,2.3,8.4,WNW,54,16:14:00,10.6,80,7,NW,20,1025.4,12.9,65,NA,WNW,30,1023.5,2019,9,22
2019-09-23,6.3,14.3,11,4,7,SW,35,16:07:00,10.2,89,7,W,17,1030.4,12.6,60,NA,WSW,20,1029.3,2019,9,23
2019-09-24,4.5,15.2,0.2,1.7,4.8,SW,20,11:25:00,12,80,6,NE,2,1032.2,14.7,62,NA,WNW,13,1029.5,2019,9,24
2019-09-25,3.3,18.3,0,2.5,10.1,N,31,14:24:00,11.2,81,4,ENE,17,1031.2,16.8,55,NA,NE,13,1026.1,2019,9,25
2019-09-26,4.5,23.2,0,2.2,10.6,NW,30,13:08:00,16.9,54,1,NNE,9,1025.1,22.8,27,NA,W,17,1020.8,2019,9,26
